bairro,area_m2,quartos,banheiros,vagas,andar,idade_anos,preco
Santa Teresa,163,5,6,3,20,56.0,922333.77
Tijuca,260,1,3,3,7,40.0,1811726.64
Copacabana,262,5,5,0,4,13.0,2975340.65
Tijuca,88,2,2,0,15,3.0,784774.54
Centro,260,4,4,0,3,56.0,1248972.54
Meier,316,4,5,0,22,18.0,1977525.12
Ipanema,98,5,5,2,2,1.0,1646061.49
Meier,33,1,1,2,12,36.0,167435.98
Leblon,336,5,6,1,23,0.0,9154339.78
Jacarepagua,194,1,2,2,13,12.0,894120.81
Meier,277,5,6,3,20,53.0,1546158.82
Centro,129,4,5,3,10,2.0,1078041.7
Recreio,122,3,5,1,18,45.0,1000480.25
Recreio,98,2,3,2,17,37.0,825642.97
Flamengo,95,1,2,2,12,18.0,997298.11
Laranjeiras,178,5,6,3,2,17.0,1486921.43
Vila Isabel,59,4,4,3,24,28.0,363282.88
Barra da Tijuca,298,5,6,1,1,31.0,3765816.66
Recreio,191,4,6,3,8,53.0,1059838.52
Tijuca,322,5,6,1,16,15.0,2028724.54
Jacarepagua,188,5,6,3,19,35.0,958274.82
Ipanema,123,3,5,3,13,41.0,2059064.22
Recreio,192,4,5,3,10,0.0,1491019.77
Leblon,75,2,4,0,10,53.0,1230331.2
Jacarepagua,292,4,4,0,24,59.0,1361243.28
Vila Isabel,259,4,4,3,8,5.0,1447969.41
Santa Teresa,72,3,5,0,21,,373284.19
Recreio,214,4,4,0,1,47.0,1183157.13
Copacabana,199,2,3,1,16,48.0,2036773.79
Botafogo,90,4,5,1,17,9.0,1100617.11
Ipanema,64,3,4,0,16,55.0,968904.5
Laranjeiras,272,2,4,0,10,19.0,2679961.81
Santa Teresa,110,5,5,1,17,17.0,791555.27
Meier,193,1,2,2,11,21.0,875914.11
Leblon,105,4,4,2,14,40.0,2088603.7
Copacabana,237,2,2,3,22,12.0,2873176.59
Santa Teresa,40,2,2,3,16,32.0,329803.28
Tijuca,141,1,3,0,18,4.0,1194242.67
Ipanema,202,1,1,2,24,8.0,4662277.65
Leblon,167,1,3,0,5,46.0,2697216.84
Botafogo,224,5,6,1,14,23.0,2706914.02
Centro,83,5,6,1,16,47.0,537021.98
Grajau,168,3,5,2,17,44.0,1003271.88
Tijuca,270,1,3,1,3,59.0,1557566.63
Flamengo,133,5,5,3,19,8.0,1202950.82
Copacabana,76,4,6,1,4,56.0,759595.01
Copacabana,300,3,5,3,10,53.0,3248829.35
Copacabana,277,5,6,3,17,26.0,2904973.69
Grajau,246,3,3,2,6,8.0,1852422.88
Meier,284,2,3,0,3,8.0,1586045.26
Vila Isabel,278,4,5,2,16,30.0,1756062.72
Copacabana,267,3,4,1,7,0.0,3720055.67
Copacabana,190,4,5,1,20,5.0,2635629.75
Vila Isabel,31,4,5,1,22,31.0,185056.68
Ipanema,219,5,6,1,8,33.0,3851117.91
Leblon,113,2,3,1,18,51.0,2355441.27
Jacarepagua,276,1,3,3,5,58.0,1104970.55
Centro,177,3,5,1,23,16.0,1089105.6
Botafogo,319,4,4,1,6,19.0,2403127.95
Recreio,218,5,6,2,22,11.0,2113855.66
Flamengo,203,2,4,0,19,13.0,2459677.42
Recreio,323,4,5,2,7,26.0,2376773.25
Barra da Tijuca,179,5,6,3,20,59.0,1840708.1
Ipanema,147,5,5,3,15,53.0,2021617.23
Recreio,145,5,6,0,16,54.0,915748.03
Vila Isabel,309,5,6,1,9,27.0,1878760.57
Centro,270,4,6,0,5,39.0,1179457.66
Grajau,78,2,3,2,17,43.0,448629.81
Ipanema,185,3,4,1,1,14.0,2690087.96
Copacabana,145,4,5,3,8,,1703616.59
Meier,235,2,4,0,3,33.0,1134736.21
Leblon,41,4,5,3,0,22.0,750851.62
Meier,257,3,3,1,0,28.0,1222370.99
Grajau,266,4,4,3,2,26.0,1581968.81
Barra da Tijuca,98,3,4,0,23,3.0,1639283.47
Meier,73,4,6,1,19,46.0,316130.69
Flamengo,228,1,2,1,24,54.0,2041698.77
Leblon,108,4,6,3,2,45.0,1663080.84
Grajau,331,5,6,2,24,56.0,2096630.77
Botafogo,276,5,6,3,14,25.0,3284729.17
Vila Isabel,335,5,6,2,19,3.0,2730657.31
Centro,198,2,3,3,21,16.0,1474207.45
Leblon,330,1,2,2,6,51.0,5815340.95
Flamengo,29,4,6,2,18,8.0,359805.35
Leblon,119,1,2,3,16,32.0,2953675.79
Meier,25,2,3,3,10,0.0,120075.55
Santa Teresa,245,4,5,2,12,19.0,1710094.21
Santa Teresa,190,3,5,1,5,6.0,1172201.1
Grajau,118,4,4,2,4,6.0,947326.51
Jacarepagua,124,4,4,2,23,9.0,612964.17
Meier,234,1,2,3,18,32.0,863778.35
Tijuca,83,4,4,2,14,41.0,442364.33
Grajau,192,3,4,3,17,17.0,986377.85
Jacarepagua,224,3,4,2,10,49.0,1108951.86
Laranjeiras,102,3,4,3,6,23.0,739596.78
Barra da Tijuca,99,3,3,3,23,44.0,835512.86
Laranjeiras,140,3,3,3,24,31.0,1250806.03
Botafogo,217,2,3,0,5,43.0,1925569.78
Laranjeiras,107,2,4,3,20,58.0,571227.17
Copacabana,148,1,3,1,11,59.0,1179530.46
Ipanema,201,2,3,3,17,35.0,3202303.91
Barra da Tijuca,85,2,2,1,2,57.0,755265.3
Jacarepagua,209,3,3,1,11,42.0,993492.57
Flamengo,69,5,6,2,3,16.0,758298.08
Barra da Tijuca,71,1,1,2,20,,966389.79
Copacabana,101,2,4,2,9,,1158738.47
Tijuca,118,1,2,0,6,28.0,628493.02
Recreio,34,5,6,3,17,9.0,288917.53
Meier,337,4,4,1,23,47.0,1627065.46
Centro,125,2,3,3,8,53.0,568718.31
Botafogo,286,3,5,1,17,49.0,2813198.61
Centro,318,4,4,2,17,6.0,2674326.42
Centro,285,5,6,2,12,16.0,1239074.0
Laranjeiras,295,3,4,0,20,20.0,2563443.02
Jacarepagua,57,2,3,1,3,6.0,414555.26
Vila Isabel,145,4,5,2,21,31.0,811122.99
Botafogo,267,4,6,3,10,2.0,3414561.41
Flamengo,212,4,6,3,1,36.0,1912428.23
Copacabana,26,1,1,1,24,,343846.0
Ipanema,209,4,5,2,19,35.0,4373868.59
Vila Isabel,286,1,3,0,20,54.0,1567357.49
Jacarepagua,294,5,5,3,3,47.0,1011011.94
Centro,149,5,6,3,18,15.0,806676.02
Centro,101,3,5,3,17,34.0,724683.58
Flamengo,125,4,4,1,22,48.0,830809.26
Botafogo,121,1,2,1,9,51.0,1113436.67
Leblon,137,5,6,3,23,38.0,1695384.49
Copacabana,123,2,2,2,17,5.0,1244947.82
Vila Isabel,173,2,2,0,6,26.0,1141724.73
Botafogo,38,4,5,2,5,51.0,320917.03
Meier,114,5,5,2,22,4.0,643537.74
Recreio,127,3,5,1,16,35.0,844343.14
Leblon,74,3,4,1,2,32.0,967552.95
Recreio,310,3,5,0,3,13.0,2760778.9
Ipanema,244,2,3,1,20,20.0,4163407.89
Leblon,321,3,3,0,4,58.0,3946809.05
Leblon,207,5,6,1,5,35.0,3868414.9
Vila Isabel,60,2,4,0,15,56.0,328178.33
Meier,319,4,5,1,21,28.0,1617113.82
Grajau,173,4,4,2,8,50.0,961014.66
Recreio,247,5,5,1,16,37.0,1858548.54
Botafogo,148,4,5,0,17,54.0,1152750.13
Centro,185,5,6,3,15,19.0,1088680.42
Grajau,184,4,5,1,17,,1380921.9
Jacarepagua,117,5,5,2,5,2.0,822909.46
Copacabana,205,4,4,2,15,,2765881.99
Tijuca,263,5,6,2,0,8.0,1701845.16
Grajau,31,5,6,1,18,10.0,246147.38
Jacarepagua,67,5,5,3,19,18.0,428540.89
Santa Teresa,298,3,5,3,19,52.0,1726107.65
Jacarepagua,210,4,4,3,0,,1043297.95
Copacabana,341,5,5,1,22,49.0,3778931.39
Grajau,221,2,3,1,10,48.0,1489476.21
Laranjeiras,237,1,3,0,2,58.0,1175795.24
Flamengo,317,5,6,1,13,30.0,3575600.91
Santa Teresa,239,4,6,3,14,50.0,1802319.5
Leblon,132,3,3,1,10,25.0,2747738.72
Grajau,196,4,5,3,18,37.0,1174807.8
Botafogo,101,1,1,3,13,48.0,951907.61
Santa Teresa,133,3,3,2,5,8.0,946377.52
Leblon,246,2,3,2,15,3.0,5577885.8
Meier,73,2,2,3,6,9.0,307554.4
Laranjeiras,243,5,5,0,2,43.0,1352169.31
Ipanema,214,3,3,0,6,28.0,4605811.68
Ipanema,125,1,3,0,22,16.0,2319439.19
Vila Isabel,39,2,3,3,14,46.0,215239.98
Copacabana,254,2,3,1,7,0.0,3140137.18
Centro,292,5,6,0,9,10.0,1523336.15
Santa Teresa,262,2,3,0,21,28.0,1900086.53
Centro,161,2,4,1,16,54.0,772011.72
Jacarepagua,237,2,3,1,19,44.0,1178706.73
Recreio,159,1,1,0,15,41.0,1024703.67
Centro,141,4,4,0,24,42.0,802378.34
Meier,131,3,3,3,16,,728114.76
Jacarepagua,93,3,3,3,10,26.0,539774.71
Leblon,340,2,2,0,6,53.0,6261606.18
Centro,241,4,5,1,1,43.0,1111605.87
Laranjeiras,81,1,3,1,19,35.0,677536.77
Flamengo,306,5,5,1,23,4.0,4087185.04
Ipanema,74,3,3,0,16,43.0,969362.45
Flamengo,217,2,4,3,12,21.0,1480098.05
Flamengo,78,3,3,2,3,,759040.6
Leblon,142,5,6,3,16,40.0,2444330.78
Vila Isabel,239,1,2,1,5,,1181485.22
Jacarepagua,349,3,5,3,15,34.0,2116464.52
Jacarepagua,347,3,4,2,7,0.0,2108076.44
Flamengo,316,5,6,0,21,11.0,2674333.99
Jacarepagua,101,3,3,1,23,32.0,732314.99
Meier,55,4,5,3,5,57.0,168132.6
Tijuca,319,4,6,3,8,,1903282.99
Grajau,325,5,6,2,23,25.0,1590546.12
Santa Teresa,115,2,2,0,0,58.0,679719.09
Ipanema,31,4,4,2,12,16.0,491831.59
Flamengo,235,2,2,3,3,53.0,1968606.57
Copacabana,49,5,6,0,10,24.0,541895.07
Barra da Tijuca,38,5,5,1,0,5.0,579228.04
Santa Teresa,329,2,4,0,3,0.0,2499284.18
Leblon,186,3,4,0,10,58.0,2316365.92
Barra da Tijuca,61,5,5,3,1,38.0,668540.63
Botafogo,237,1,3,0,19,8.0,2636659.15
Flamengo,144,4,6,0,14,59.0,789834.52
Recreio,199,5,6,0,11,2.0,1487008.16
Meier,317,5,6,3,11,20.0,1472410.0
Santa Teresa,102,1,3,1,20,44.0,863473.12
Jacarepagua,235,4,5,3,21,3.0,1697534.61
Laranjeiras,294,4,4,1,1,54.0,1942203.64
Ipanema,162,1,3,2,17,40.0,2709859.91
Botafogo,340,4,6,3,11,56.0,1971817.54
Santa Teresa,170,4,6,2,19,50.0,1022258.45
Vila Isabel,174,5,6,2,19,49.0,991267.14
Centro,312,1,2,0,17,13.0,1946207.05
Barra da Tijuca,231,5,6,0,16,12.0,2801999.74
Leblon,307,3,5,2,5,14.0,6401254.9
Vila Isabel,281,2,4,1,21,9.0,2025213.37
Laranjeiras,256,2,2,0,17,39.0,2121188.33
Botafogo,103,4,5,0,6,3.0,1297941.84
Meier,154,5,6,1,5,25.0,795968.58
Centro,305,2,4,0,12,34.0,1733501.18
Jacarepagua,225,5,6,2,8,32.0,1482494.7
Grajau,116,4,4,1,16,29.0,842870.54
Ipanema,131,1,3,1,10,13.0,2919505.57
Botafogo,277,3,4,0,4,6.0,2710858.58
Ipanema,82,5,5,2,9,59.0,827666.02
Flamengo,61,1,2,0,20,27.0,568201.84
Centro,273,1,1,2,20,35.0,1436183.16
Santa Teresa,118,1,3,3,7,34.0,988468.5
Meier,273,3,5,3,19,22.0,1215249.96
Leblon,198,1,3,2,2,43.0,3412791.5
Recreio,349,5,6,3,24,22.0,3136724.95
Ipanema,195,1,2,3,19,24.0,3433021.54
Flamengo,306,1,2,2,1,48.0,2277092.42
Flamengo,301,2,4,1,17,19.0,3114561.68
Vila Isabel,93,4,4,2,12,41.0,591867.97
Barra da Tijuca,348,5,6,3,22,39.0,4973639.48
Tijuca,267,2,3,2,5,1.0,2052350.01
Ipanema,59,3,4,1,22,41.0,822474.97
Recreio,26,4,6,0,21,48.0,228316.26
Jacarepagua,113,4,4,0,6,16.0,538620.27
Laranjeiras,30,1,1,1,10,54.0,277125.96
Laranjeiras,141,5,5,3,16,1.0,1729644.35
Leblon,348,5,6,2,6,10.0,9165047.42
Tijuca,180,4,4,0,24,56.0,1200561.59
Jacarepagua,32,3,4,3,4,51.0,99668.7
Barra da Tijuca,185,2,2,1,6,45.0,1620556.99
Copacabana,96,5,6,1,12,36.0,1047412.32
Vila Isabel,303,5,6,3,11,,1755206.84
Flamengo,54,3,4,1,1,29.0,442064.62
Jacarepagua,275,4,4,2,22,33.0,1669877.86
Tijuca,169,2,3,3,6,5.0,1240433.17
Vila Isabel,31,4,6,2,2,35.0,137198.86
Copacabana,243,1,3,2,12,5.0,3414050.59
Recreio,172,5,6,1,23,7.0,1694572.59
Vila Isabel,275,3,4,3,0,10.0,1634701.06
Santa Teresa,225,3,4,0,12,11.0,1995428.34
Botafogo,280,1,1,1,22,4.0,3398191.19
Centro,174,3,3,3,22,57.0,994039.61
Leblon,27,1,3,1,4,48.0,470912.78
Ipanema,67,5,6,0,15,30.0,1320824.27
Barra da Tijuca,174,4,6,1,20,22.0,1592117.95
Grajau,154,3,4,1,16,11.0,1175992.18
Flamengo,283,5,6,2,16,56.0,2069277.32
Jacarepagua,158,5,6,0,19,47.0,691787.99
Tijuca,304,1,3,1,11,45.0,2188133.91
Leblon,86,1,1,3,1,28.0,1853338.38
Tijuca,150,2,3,0,15,1.0,841160.65
Leblon,270,1,3,3,15,38.0,5727363.88
Leblon,65,3,3,0,21,,1471434.87
Flamengo,129,3,3,1,23,17.0,1173346.15
Ipanema,269,3,3,2,8,18.0,4008305.66
Copacabana,216,1,2,3,23,3.0,2167538.35
Meier,277,5,5,1,0,52.0,1070310.49
Tijuca,192,5,6,0,24,9.0,1499218.42
Recreio,304,3,3,3,3,48.0,2231595.37
Leblon,310,1,1,3,16,58.0,5440887.76
Botafogo,341,2,2,2,17,2.0,3388559.46
Recreio,64,4,6,0,15,37.0,493689.56
Flamengo,217,4,5,2,24,4.0,2291029.5
Recreio,62,2,2,1,13,49.0,364327.98
Meier,99,5,6,1,3,30.0,357762.58
Jacarepagua,122,5,6,0,15,1.0,856345.42
Tijuca,234,3,5,1,7,46.0,1492300.07
Tijuca,165,2,4,3,15,45.0,1117095.87
Recreio,306,3,4,0,9,55.0,1755322.75
Copacabana,122,1,2,3,1,29.0,1290260.82
Flamengo,225,3,3,2,15,55.0,1391819.25
Centro,273,1,1,2,2,39.0,1134689.82
Tijuca,343,1,3,3,8,31.0,2272151.82
Barra da Tijuca,104,3,3,0,15,21.0,1351983.05
Tijuca,263,3,5,3,22,17.0,1513900.98
Centro,52,5,6,1,7,37.0,221431.14
Laranjeiras,201,3,5,1,7,44.0,1457049.23
Ipanema,159,5,6,1,7,2.0,3354183.67
Recreio,336,5,6,2,14,24.0,2361219.04
Copacabana,276,2,2,1,4,2.0,3414979.81
Recreio,326,5,6,3,13,23.0,2707871.92
Botafogo,301,3,4,0,20,47.0,2681852.55
Barra da Tijuca,158,3,5,2,2,41.0,1715564.48
Recreio,263,1,1,2,24,7.0,1928704.65
Tijuca,34,2,4,2,13,43.0,192215.64
Barra da Tijuca,206,3,4,2,15,0.0,3498246.03
Laranjeiras,40,2,2,2,15,0.0,500704.47
Vila Isabel,260,3,4,3,23,54.0,1549500.67
Copacabana,339,1,1,0,16,1.0,5093022.98
Barra da Tijuca,246,2,2,1,22,15.0,2384227.02
Vila Isabel,297,4,5,2,7,7.0,1653753.06
Jacarepagua,101,4,6,1,5,34.0,491496.03
Botafogo,348,5,5,3,16,31.0,4759265.21
Meier,203,5,5,2,3,,810020.44
Leblon,244,5,6,2,2,59.0,4249369.81
Copacabana,275,1,2,0,5,44.0,2788091.68
Centro,232,4,4,1,6,28.0,1298900.43
Jacarepagua,128,2,3,2,2,2.0,765212.74
Laranjeiras,223,2,3,1,18,55.0,1372790.35
Barra da Tijuca,237,2,4,3,14,33.0,1637387.48
Vila Isabel,303,3,3,0,5,13.0,2250444.98
Recreio,181,1,2,0,7,32.0,1213880.38
Laranjeiras,188,3,3,1,23,23.0,1268795.67
Ipanema,188,1,3,1,22,21.0,3582687.69
Ipanema,62,3,5,3,3,27.0,1041370.84
Laranjeiras,54,4,5,3,15,45.0,476621.91
Vila Isabel,31,1,2,1,8,9.0,233622.99
Santa Teresa,241,1,3,2,8,57.0,1236033.59
Tijuca,161,5,5,1,14,3.0,1105613.51
Copacabana,306,4,4,2,24,8.0,3759391.9
Santa Teresa,253,2,2,2,14,40.0,1946073.17
Centro,70,5,6,2,23,8.0,307776.12
Botafogo,57,2,2,3,20,46.0,541281.96
Laranjeiras,143,5,5,2,19,44.0,1322525.27
Grajau,324,1,1,1,19,25.0,2463405.83
Tijuca,40,4,6,0,19,27.0,314353.43
Laranjeiras,85,1,3,2,6,59.0,679862.25
Laranjeiras,34,1,3,3,24,47.0,162705.46
Jacarepagua,159,3,3,2,22,37.0,1071908.36
Centro,346,1,2,3,15,,2248612.52
Tijuca,247,3,4,1,17,35.0,1990190.69
Grajau,185,2,3,0,22,2.0,1172336.47
Santa Teresa,71,1,1,2,3,15.0,392988.62
Santa Teresa,140,5,6,0,1,41.0,1134633.55
Laranjeiras,195,5,5,0,24,24.0,1572074.13
Copacabana,114,5,5,2,13,59.0,979236.33
Barra da Tijuca,254,1,1,1,18,56.0,2796437.25
Recreio,343,2,4,2,12,5.0,3362495.0
Santa Teresa,91,2,4,2,12,53.0,658934.0
Meier,106,2,4,1,0,51.0,448888.66
Meier,66,3,4,2,7,6.0,306799.95
Leblon,260,3,4,2,2,23.0,5654755.03
Laranjeiras,175,3,4,2,10,56.0,1393071.69
Barra da Tijuca,117,2,2,2,0,1.0,1101365.29
Ipanema,96,5,6,1,20,3.0,2270715.99
Santa Teresa,47,5,6,2,7,30.0,207382.53
Leblon,179,2,2,2,18,57.0,3545286.0
Copacabana,247,2,2,0,1,16.0,2479846.28
Ipanema,101,3,3,0,0,46.0,1548002.18
Recreio,25,2,3,0,10,41.0,190959.45
Ipanema,178,5,5,0,19,8.0,3349290.24
Vila Isabel,244,3,3,1,20,17.0,1704320.05
Jacarepagua,137,1,2,3,13,37.0,704223.6
Tijuca,106,1,1,3,15,28.0,813688.17
Copacabana,75,1,1,3,17,14.0,1205826.54
Jacarepagua,267,2,2,2,16,12.0,1299151.71
Leblon,305,2,4,0,18,33.0,3186554.13
Santa Teresa,275,5,6,1,0,49.0,1557434.76
Tijuca,193,5,5,3,10,24.0,1240383.03
Jacarepagua,260,1,2,3,20,55.0,1173640.11
Copacabana,153,5,5,3,10,40.0,1327921.32
Ipanema,32,3,4,1,3,24.0,581811.11
Botafogo,144,2,3,1,16,42.0,1071445.25
Copacabana,253,3,5,2,7,26.0,2918613.26
Flamengo,235,3,4,0,12,,2115411.08
Santa Teresa,346,1,3,0,12,58.0,2182085.91
Santa Teresa,349,5,5,0,17,,2486767.85
Botafogo,103,1,1,2,23,8.0,1385448.66
Laranjeiras,28,1,2,0,17,4.0,285110.34
Jacarepagua,114,2,2,2,24,48.0,551960.17
Copacabana,309,1,2,1,0,50.0,2983889.43
Ipanema,289,1,2,3,19,34.0,5153602.82
Meier,57,2,4,0,10,14.0,346986.82
Recreio,77,2,3,1,18,52.0,392318.82
Copacabana,208,1,3,0,2,26.0,2132856.03
Grajau,239,5,6,1,13,17.0,1369766.72
Flamengo,344,5,6,2,0,21.0,3337864.78
Jacarepagua,270,4,4,0,16,17.0,1775390.56
Santa Teresa,93,3,5,2,5,16.0,672713.14
Santa Teresa,37,5,6,3,3,19.0,242155.2
Santa Teresa,230,2,2,0,1,40.0,1611828.6
Botafogo,204,3,3,0,6,0.0,2265125.16
Grajau,324,1,1,3,23,21.0,2747570.89
Jacarepagua,212,4,5,2,24,10.0,1713337.33
Flamengo,187,1,2,3,2,38.0,1759487.22
Vila Isabel,123,4,4,2,24,59.0,653316.18
Leblon,53,4,4,2,14,47.0,1215786.62
Recreio,309,2,3,0,8,14.0,2632077.9
Ipanema,293,4,5,2,23,30.0,4639150.68
Tijuca,77,2,3,1,6,1.0,531895.75
Recreio,253,2,2,3,4,24.0,1726594.62
Vila Isabel,143,3,5,0,5,16.0,875681.02
Vila Isabel,167,2,4,0,3,30.0,1001568.3
Barra da Tijuca,300,4,4,2,12,24.0,2865685.84
Tijuca,298,2,2,3,3,40.0,1692612.04
Jacarepagua,86,3,4,3,5,32.0,458460.69
Grajau,124,5,6,2,9,56.0,716134.43
Santa Teresa,291,2,2,1,16,4.0,2454374.33
Botafogo,323,3,3,1,21,56.0,2930441.92
Leblon,50,5,6,3,1,47.0,688593.35
Flamengo,295,2,3,0,15,42.0,2162644.31
Tijuca,183,1,1,0,2,49.0,1037045.18
Leblon,216,2,3,2,24,3.0,5643883.87
Copacabana,49,5,5,1,6,12.0,589053.8
Recreio,246,4,4,1,21,0.0,2016366.69
Barra da Tijuca,245,5,6,3,19,47.0,2573322.95
Meier,240,2,2,1,8,21.0,1507285.39
Botafogo,281,5,5,3,8,21.0,3111985.83
Flamengo,332,2,4,0,7,36.0,2748988.99
Flamengo,301,4,4,1,11,,2351046.78
Recreio,267,5,6,0,11,38.0,1731874.3
Leblon,343,2,4,2,16,56.0,5873570.21
Jacarepagua,244,5,6,3,11,19.0,1455648.04
Flamengo,243,4,6,3,19,53.0,2121637.71
Barra da Tijuca,201,4,5,0,11,31.0,2464991.62
Botafogo,274,4,6,3,7,22.0,2622160.46
Jacarepagua,48,1,1,0,8,55.0,200503.88
Barra da Tijuca,189,4,4,2,18,29.0,2992880.77
Recreio,163,2,2,2,3,7.0,1243788.46
Barra da Tijuca,321,2,3,0,7,17.0,3186225.91
Tijuca,48,1,3,0,7,50.0,210759.06
Flamengo,234,1,3,0,16,30.0,2034316.18
Recreio,84,5,6,2,3,33.0,690455.11
Recreio,312,2,2,2,11,40.0,2044917.48
Centro,301,2,4,0,16,11.0,2251707.62
Barra da Tijuca,101,3,5,2,23,5.0,1425836.08
Ipanema,308,4,5,3,10,26.0,5907338.2
Vila Isabel,186,3,3,0,24,55.0,870128.87
Copacabana,340,3,3,2,15,,3761276.27
Meier,262,5,6,1,19,43.0,1255563.61
Botafogo,36,3,3,1,6,58.0,310556.6
Botafogo,90,4,5,1,22,5.0,1042666.54
Copacabana,156,5,6,1,6,7.0,1942301.85
Grajau,93,4,5,1,3,52.0,532128.55
Recreio,68,1,1,0,1,6.0,443402.88
Barra da Tijuca,342,2,3,1,16,44.0,3553772.91
Laranjeiras,307,4,4,2,15,47.0,2211851.05
Copacabana,166,3,3,1,4,18.0,1718587.82
Meier,94,2,4,2,21,17.0,554628.6
Jacarepagua,84,2,3,0,6,31.0,405442.03
Meier,322,1,3,0,15,30.0,1131543.34
Ipanema,132,2,4,3,13,51.0,1818295.84
Santa Teresa,29,4,5,1,14,35.0,172099.77
Botafogo,154,1,2,2,18,58.0,1408589.29
Flamengo,172,5,5,2,23,14.0,1999104.61
Laranjeiras,227,2,3,0,18,16.0,1457065.63
Barra da Tijuca,135,5,6,3,22,14.0,1601286.63
Ipanema,324,2,2,1,21,39.0,5462689.3
Tijuca,234,5,5,3,8,2.0,1425083.38
Vila Isabel,345,3,5,1,13,51.0,1988138.62
Grajau,144,5,6,1,4,46.0,916292.14
Santa Teresa,236,1,2,2,23,59.0,1448042.26
Botafogo,143,4,6,0,24,57.0,1113428.76
Centro,252,2,2,2,22,4.0,1074706.44
Leblon,267,2,3,3,18,44.0,5603870.28
Flamengo,129,1,3,2,21,30.0,1575583.33
Recreio,329,5,6,0,19,44.0,3031825.06
Flamengo,303,4,5,2,5,52.0,2231040.17
Flamengo,315,5,5,0,6,34.0,2251559.26
Santa Teresa,95,3,4,0,13,0.0,911095.96
Jacarepagua,258,1,2,1,10,51.0,1187878.75
Barra da Tijuca,59,2,4,1,18,26.0,779511.19
Jacarepagua,59,3,3,0,18,27.0,348926.27
Leblon,341,1,2,0,24,35.0,7028550.88
Ipanema,74,5,6,3,19,54.0,1228998.27
Jacarepagua,305,5,6,1,0,31.0,1793534.37
Vila Isabel,165,3,3,0,8,12.0,966272.18
Jacarepagua,123,3,5,1,8,43.0,519076.47
Laranjeiras,48,4,6,2,15,37.0,249748.61
Leblon,244,4,5,2,8,3.0,5213449.08
Recreio,259,1,2,1,24,31.0,1741808.22
Centro,176,3,3,0,7,47.0,888688.89
Barra da Tijuca,288,4,4,3,10,53.0,2743862.3
Copacabana,130,5,5,2,20,16.0,1524863.08
Ipanema,204,3,3,3,9,31.0,3637383.89
Grajau,118,5,6,1,1,49.0,664094.95
Centro,214,3,3,0,8,,1082388.87
Botafogo,69,2,2,1,8,25.0,865409.6
Botafogo,179,3,5,1,15,11.0,2221731.1
Copacabana,203,4,4,2,17,2.0,2453406.34
Santa Teresa,205,5,5,2,13,41.0,1311221.61
Ipanema,170,2,3,0,10,57.0,2568966.11
Laranjeiras,234,2,4,2,12,36.0,1991023.33
Botafogo,191,4,6,1,3,46.0,1365888.77
Barra da Tijuca,117,4,4,2,4,40.0,1407705.05
Tijuca,94,2,2,1,15,20.0,810718.86
Vila Isabel,235,4,6,2,21,31.0,1679010.97
Copacabana,330,1,3,2,13,16.0,4777889.77
Barra da Tijuca,269,2,3,1,1,13.0,4305964.73
Tijuca,232,5,6,0,24,35.0,2024963.84
Tijuca,324,3,5,2,8,38.0,2151633.84
Leblon,317,5,6,3,18,59.0,5191620.23
Grajau,189,2,4,1,22,14.0,990920.82
Barra da Tijuca,60,2,4,3,24,17.0,800647.07
Recreio,231,5,5,0,2,9.0,2041372.22
Barra da Tijuca,227,5,6,3,4,56.0,2181372.67
Santa Teresa,115,5,6,3,16,46.0,548378.25
Barra da Tijuca,301,2,2,1,19,19.0,3710971.07
Barra da Tijuca,307,5,5,0,20,58.0,3418693.19
Tijuca,132,3,4,2,13,,704758.19
Tijuca,179,5,5,3,3,28.0,1200993.5
Ipanema,88,5,6,0,17,22.0,1628621.43
Centro,82,3,4,2,16,34.0,514987.19
Copacabana,111,2,3,3,11,5.0,1722101.92
Botafogo,143,5,6,0,15,10.0,1515383.79
Botafogo,113,3,5,2,5,56.0,942619.03
Tijuca,74,3,5,0,20,12.0,592383.26
Laranjeiras,170,4,6,0,1,9.0,1701019.85
Meier,227,5,6,1,20,51.0,1105622.0
Santa Teresa,130,1,1,1,20,56.0,999742.29
Barra da Tijuca,198,5,6,0,17,49.0,1371205.84
Grajau,113,3,3,3,20,,896918.28
Copacabana,253,1,1,0,22,50.0,2712257.51
Jacarepagua,235,2,3,3,4,16.0,1276457.68
Laranjeiras,337,3,3,0,13,0.0,2251693.21
Jacarepagua,42,4,4,2,16,55.0,195510.67
Grajau,302,3,5,2,23,16.0,1937409.16
Tijuca,135,1,2,1,18,39.0,1112027.02
Copacabana,46,3,5,1,14,4.0,611411.53
Laranjeiras,249,2,4,3,13,11.0,2096626.93
Ipanema,80,2,3,0,3,52.0,748567.8
Laranjeiras,82,4,5,3,7,35.0,724097.68
Laranjeiras,343,5,6,2,10,59.0,2663982.33
Vila Isabel,96,1,1,3,22,10.0,636710.57
Jacarepagua,202,4,6,1,21,53.0,1073490.85
Grajau,90,3,5,1,16,52.0,477193.08
Leblon,65,2,2,2,2,55.0,1214742.47
Recreio,25,4,4,2,18,2.0,263453.45
Ipanema,30,2,4,3,11,6.0,416756.26
Laranjeiras,178,4,6,3,16,31.0,1220246.21
Flamengo,166,3,5,0,10,6.0,2205856.25
Vila Isabel,37,1,1,0,18,3.0,294318.58
Laranjeiras,138,4,6,3,5,48.0,827884.41
Tijuca,113,5,6,1,3,41.0,522778.82
